,libvirt_domain_block_stats_flush_requests_total,libvirt_domain_block_stats_flush_time_seconds_total,libvirt_domain_block_stats_read_bytes_total,libvirt_domain_block_stats_read_requests_total,libvirt_domain_block_stats_read_time_seconds_total,libvirt_domain_block_stats_write_bytes_total,libvirt_domain_block_stats_write_requests_total,libvirt_domain_block_stats_write_time_seconds_total,libvirt_domain_info_cpu_time_seconds_total,libvirt_domain_info_memory_usage_bytes,libvirt_domain_interface_stats_receive_bytes_total,libvirt_domain_interface_stats_receive_drops_total,libvirt_domain_interface_stats_receive_errors_total,libvirt_domain_interface_stats_receive_packets_total,libvirt_domain_interface_stats_transmit_bytes_total,libvirt_domain_interface_stats_transmit_drops_total,libvirt_domain_interface_stats_transmit_errors_total,libvirt_domain_interface_stats_transmit_packets_total ,libvirt_domain_memory_stats_disk_cache_bytes,libvirt_domain_memory_stats_major_fault_total,libvirt_domain_memory_stats_minor_fault_total,libvirt_domain_memory_stats_rss_bytes,libvirt_domain_memory_stats_unused_bytes,libvirt_domain_memory_stats_usable_bytes,libvirt_domain_memory_stats_used_percent,libvirt_domain_vcpu_cpu,libvirt_domain_vcpu_time_seconds_total
0,15871504.0,131.631760776,980214784.0,46481.0,155.539272381,5811597312.0,111165.0,139.674985422,12577.01,1073741824.0,213173711.0,0.0,0.0,94134.0,7936215.0,0.0,0.0,82599.0,0.0,2421.0,93421994.0,1119657984.0,253440000.0,564498432.0,45.33869566769392,13.0,1678.57
1,17405784.0,143.894648907,980214784.0,46481.0,155.539272381,5811597312.0,111165.0,139.674985422,12728.06,1073741824.0,213174857.0,0.0,0.0,94155.0,7937357.0,0.0,0.0,82620.0,0.0,2421.0,101188184.0,1119657984.0,242671616.0,553172992.0,46.435356504011835,25.0,1738.35
2,19025478.0,156.573344411,980214784.0,46481.0,155.539272381,5811597312.0,111165.0,139.674985422,12880.53,1073741824.0,213176153.0,0.0,0.0,94179.0,7938599.0,0.0,0.0,82643.0,0.0,2421.0,108979936.0,1119657984.0,405741568.0,716242944.0,30.64502695048963,13.0,1798.1
3,20504367.0,168.476149607,980214784.0,46481.0,155.539272381,5813547008.0,111577.0,139.958154342,13030.69,1073741824.0,213184506.0,0.0,0.0,94255.0,7949006.0,0.0,0.0,82708.0,0.0,2421.0,116023583.0,1119690752.0,286470144.0,597073920.0,42.1843580072106,6.0,1857.84
4,21935984.0,179.974814559,980214784.0,46481.0,155.539272381,5813547008.0,111577.0,139.958154342,13179.83,1073741824.0,213185370.0,0.0,0.0,94271.0,7949870.0,0.0,0.0,82724.0,0.0,2421.0,123099206.0,1119674368.0,299073536.0,609718272.0,40.95998476970122,16.0,1917.59
5,23336949.0,191.346323725,980214784.0,46481.0,155.539272381,5813547008.0,111577.0,139.958154342,13328.77,1073741824.0,213186280.0,0.0,0.0,94288.0,7950780.0,0.0,0.0,82741.0,0.0,2421.0,130346055.0,1119674368.0,277901312.0,588546048.0,43.01012576895161,31.0,1977.35
6,24866336.0,203.482159184,980214784.0,46481.0,155.539272381,5813547008.0,111577.0,139.958154342,13479.47,1073741824.0,213187376.0,0.0,0.0,94308.0,7951872.0,0.0,0.0,82761.0,0.0,2421.0,138833416.0,1119674368.0,276029440.0,586674176.0,43.191382189276126,5.0,2037.1
7,26356149.0,215.403973046,980214784.0,46481.0,155.539272381,5814145024.0,111708.0,140.016139781,13629.77,1073741824.0,213189835.0,0.0,0.0,94337.0,7955103.0,0.0,0.0,82790.0,0.0,2421.0,146110575.0,1119657984.0,402403328.0,713076736.0,30.95161603782191,7.0,2096.87
8,27932760.0,228.061687041,980214784.0,46481.0,155.539272381,5814165504.0,111712.0,140.016806432,13781.75,1073741824.0,213190421.0,0.0,0.0,94348.0,7955689.0,0.0,0.0,82801.0,0.0,2421.0,152986332.0,1119461376.0,290824192.0,601505792.0,41.755212609418194,11.0,2156.62
9,29471048.0,240.287994461,980214784.0,46481.0,155.539272381,5815234560.0,111934.0,140.219784245,13932.91,1073741824.0,213195781.0,0.0,0.0,94404.0,7962418.0,0.0,0.0,82852.0,0.0,2421.0,160268399.0,1119494144.0,264097792.0,574840832.0,44.33722419872367,31.0,2216.39
10,30931623.0,252.039962419,980214784.0,46481.0,155.539272381,5815873536.0,112072.0,140.283558722,14082.63,1073741824.0,213198566.0,0.0,0.0,94438.0,7966260.0,0.0,0.0,82890.0,0.0,2421.0,167266587.0,1119461376.0,237735936.0,548630528.0,46.87521070563085,31.0,2276.12
11,32403919.0,263.68748859,980214784.0,46481.0,155.539272381,5816832000.0,112268.0,140.423766383,14232.34,1073741824.0,213203350.0,0.0,0.0,94477.0,7972700.0,0.0,0.0,82927.0,0.0,2421.0,174944175.0,1119461376.0,334434304.0,645316608.0,37.51293980462383,31.0,2335.92
12,33900970.0,275.597390972,980214784.0,46481.0,155.539272381,5817282560.0,112360.0,140.573990044,14382.39,1073741824.0,213205831.0,0.0,0.0,94507.0,7975969.0,0.0,0.0,82957.0,0.0,2421.0,182403983.0,1119543296.0,344084480.0,654995456.0,36.57572115861325,25.0,2395.64
13,35342040.0,287.346079008,980214784.0,46481.0,155.539272381,5817282560.0,112360.0,140.573990044,14531.95,1073741824.0,213206691.0,0.0,0.0,94523.0,7976721.0,0.0,0.0,82971.0,0.0,2421.0,190037695.0,1119543296.0,349196288.0,660107264.0,36.08073644840538,9.0,2455.44
14,36838510.0,299.272083522,980214784.0,46481.0,155.539272381,5817307136.0,112365.0,140.575153452,14682.21,1073741824.0,213207467.0,0.0,0.0,94537.0,7977477.0,0.0,0.0,82985.0,0.0,2421.0,198129168.0,1119543296.0,223903744.0,534827008.0,48.21182807213768,9.0,2515.17
15,38362351.0,311.435442463,980214784.0,46481.0,155.539272381,5817307136.0,112365.0,140.575153452,14833.05,1073741824.0,213208393.0,0.0,0.0,94554.0,7978403.0,0.0,0.0,83002.0,0.0,2421.0,205869539.0,1119543296.0,329166848.0,640090112.0,38.019029941022254,23.0,2574.93
16,40010668.0,324.372078503,980214784.0,46481.0,155.539272381,5817307136.0,112365.0,140.575153452,14986.1,1073741824.0,213209153.0,0.0,0.0,94568.0,7979159.0,0.0,0.0,83016.0,0.0,2421.0,213357931.0,1119543296.0,392687616.0,703610880.0,31.868210320907156,16.0,2634.67
17,41431910.0,335.841466428,980214784.0,46481.0,155.539272381,5817307136.0,112365.0,140.575153452,15135.13,1073741824.0,213210239.0,0.0,0.0,94588.0,7980269.0,0.0,0.0,83036.0,0.0,2421.0,220428511.0,1119543296.0,288092160.0,599015424.0,41.99635900669895,15.0,2694.42
18,42978452.0,348.152684529,980214784.0,46481.0,155.539272381,5817307136.0,112365.0,140.575153452,15286.3,1073741824.0,213211161.0,0.0,0.0,94605.0,7981191.0,0.0,0.0,83053.0,0.0,2421.0,228036824.0,1119543296.0,263237632.0,574160896.0,44.40306351113914,3.0,2754.16
19,44489002.0,360.563422997,980214784.0,46481.0,155.539272381,5817794560.0,112465.0,140.65089809,15437.65,1073741824.0,213213868.0,0.0,0.0,94636.0,7984858.0,0.0,0.0,83086.0,0.0,2421.0,234676695.0,1123737600.0,312283136.0,623206400.0,39.65390732521844,27.0,2813.88
20,46026692.0,372.779710108,980214784.0,46481.0,155.539272381,5818048512.0,112517.0,140.727319377,15588.64,1073741824.0,213216727.0,0.0,0.0,94672.0,7988405.0,0.0,0.0,83120.0,0.0,2421.0,242580567.0,1119526912.0,330031104.0,641028096.0,37.92820341967802,13.0,2873.59
21,47700887.0,385.894283471,980214784.0,46481.0,155.539272381,5818048512.0,112517.0,140.727319377,15742.05,1073741824.0,213217429.0,0.0,0.0,94685.0,7989107.0,0.0,0.0,83133.0,0.0,2421.0,251064330.0,1119526912.0,303271936.0,614268928.0,40.519337323354314,25.0,2933.37
22,49292569.0,398.594266781,980214784.0,46481.0,155.539272381,5818437632.0,112601.0,140.805100604,15894.36,1073741824.0,213219598.0,0.0,0.0,94709.0,7992072.0,0.0,0.0,83157.0,0.0,2421.0,258456530.0,1119526912.0,226451456.0,537477120.0,47.95521340266292,3.0,2993.08
23,50946968.0,411.351008724,980214784.0,46481.0,155.539272381,5819072512.0,112734.0,140.894750523,16047.1,1073741824.0,213223652.0,0.0,0.0,94751.0,7997508.0,0.0,0.0,83196.0,0.0,2421.0,266259287.0,1119526912.0,294215680.0,605286400.0,41.389130167493626,13.0,3052.83
24,52569961.0,424.102577587,980214784.0,46481.0,155.539272381,5819805696.0,112889.0,140.967938687,16199.66,1073741824.0,213228014.0,0.0,0.0,94799.0,8005086.0,0.0,0.0,83248.0,0.0,2421.0,274077176.0,1119526912.0,411193344.0,722313216.0,30.057232607117786,3.0,3112.6
25,54155918.0,436.656124083,980214784.0,46481.0,155.539272381,5821501440.0,113236.0,141.297472094,16351.77,1073741824.0,213236236.0,0.0,0.0,94868.0,8024375.0,0.0,0.0,83328.0,0.0,2421.0,281681778.0,1125818368.0,277790720.0,589004800.0,42.96570406418937,31.0,3172.3
26,55821258.0,449.959372414,980214784.0,46481.0,155.539272381,5821501440.0,113236.0,141.297472094,16505.53,1073741824.0,213237278.0,0.0,0.0,94887.0,8025409.0,0.0,0.0,83347.0,0.0,2421.0,289321811.0,1119543296.0,393834496.0,705069056.0,31.72701275934145,3.0,3232.03
27,57435733.0,462.558702992,980214784.0,46481.0,155.539272381,5821501440.0,113236.0,141.297472094,16657.76,1073741824.0,213238046.0,0.0,0.0,94901.0,8026173.0,0.0,0.0,83361.0,0.0,2421.0,296962901.0,1119543296.0,234258432.0,545492992.0,47.179023436415484,7.0,3291.74
28,59158510.0,476.226403917,980214784.0,46481.0,155.539272381,5821501440.0,113236.0,141.297472094,16812.39,1073741824.0,213238810.0,0.0,0.0,94915.0,8026929.0,0.0,0.0,83375.0,0.0,2421.0,304161201.0,1119477760.0,278065152.0,589299712.0,42.93714725398507,31.0,3351.52
29,60759155.0,488.736570101,980214784.0,46481.0,155.539272381,5821501440.0,113236.0,141.297472094,16964.42,1073741824.0,213239692.0,0.0,0.0,94932.0,8027807.0,0.0,0.0,83392.0,0.0,2421.0,312184307.0,1119477760.0,432578560.0,743813120.0,27.975361818751512,31.0,3411.29
30,62423205.0,501.782853528,980214784.0,46481.0,155.539272381,5821538304.0,113243.0,141.29863928,17117.77,1073741824.0,213241330.0,0.0,0.0,94959.0,8029441.0,0.0,0.0,83419.0,0.0,2421.0,320426397.0,1119477760.0,346210304.0,657453056.0,36.33774774024408,31.0,3471.04
31,64074093.0,514.725408176,980214784.0,46481.0,155.539272381,5821538304.0,113243.0,141.29863928,17270.92,1073741824.0,213242385.0,0.0,0.0,94978.0,8030524.0,0.0,0.0,83438.0,0.0,2421.0,328714746.0,1119477760.0,370126848.0,681369600.0,34.021869757148124,5.0,3530.75
32,65734343.0,527.754063363,980214784.0,46481.0,155.539272381,5821538304.0,113243.0,141.29863928,17424.38,1073741824.0,213243357.0,0.0,0.0,94996.0,8031488.0,0.0,0.0,83456.0,0.0,2421.0,336704364.0,1119477760.0,393617408.0,704860160.0,31.747240499902826,5.0,3590.45
33,67373344.0,540.629535196,980214784.0,46481.0,155.539272381,5821538304.0,113243.0,141.29863928,17577.36,1073741824.0,213244711.0,0.0,0.0,95021.0,8032788.0,0.0,0.0,83480.0,0.0,2421.0,345113379.0,1119477760.0,309833728.0,621076480.0,39.86015095447172,11.0,3650.16
34,68988469.0,553.590464687,980214784.0,46481.0,155.539272381,5822291968.0,113402.0,141.447639131,17730.53,1073741824.0,213248156.0,0.0,0.0,95058.0,8036892.0,0.0,0.0,83513.0,0.0,2421.0,353158347.0,1119477760.0,245522432.0,556822528.0,46.081965977733624,31.0,3709.92
35,70681721.0,566.95612289,980214784.0,46481.0,155.539272381,5822291968.0,113402.0,141.447639131,17884.77,1073741824.0,213249580.0,0.0,0.0,95077.0,8038332.0,0.0,0.0,83532.0,0.0,2421.0,360879023.0,1119477760.0,297107456.0,608407552.0,41.08690392616478,3.0,3769.66
36,72373090.0,580.520817902,980214784.0,46481.0,155.539272381,5822291968.0,113402.0,141.447639131,18039.45,1073741824.0,213250584.0,0.0,0.0,95095.0,8039336.0,0.0,0.0,83550.0,0.0,2421.0,368650647.0,1119477760.0,274284544.0,585584640.0,43.29688373808646,13.0,3829.39
37,74034483.0,593.630988292,980214784.0,46481.0,155.539272381,5822291968.0,113402.0,141.447639131,18193.03,1073741824.0,213251860.0,0.0,0.0,95117.0,8040612.0,0.0,0.0,83572.0,0.0,2421.0,376570002.0,1119477760.0,317362176.0,628662272.0,39.125606336438885,13.0,3889.16
38,75717009.0,607.036903983,980214784.0,46481.0,155.539272381,5822291968.0,113402.0,141.447639131,18347.35,1073741824.0,213252716.0,0.0,0.0,95133.0,8041468.0,0.0,0.0,83588.0,0.0,2421.0,384445592.0,1119477760.0,271175680.0,582475776.0,43.59792011232346,13.0,3948.92
39,77323870.0,619.910696554,980214784.0,46481.0,155.539272381,5822316544.0,113407.0,141.448609326,18500.23,1073741824.0,213254064.0,0.0,0.0,95151.0,8042844.0,0.0,0.0,83606.0,0.0,2421.0,392554525.0,1119477760.0,343330816.0,654639104.0,36.610227304276776,9.0,4008.62
40,78947327.0,632.799381302,980214784.0,46481.0,155.539272381,5822316544.0,113407.0,141.448609326,18653.31,1073741824.0,213255098.0,0.0,0.0,95170.0,8043874.0,0.0,0.0,83625.0,0.0,2421.0,400526733.0,1119477760.0,304001024.0,615309312.0,40.418595242911366,5.0,4068.37
41,80539657.0,645.914649511,980214784.0,46481.0,155.539272381,5822316544.0,113407.0,141.448609326,18806.79,1073741824.0,213255882.0,0.0,0.0,95184.0,8044658.0,0.0,0.0,83639.0,0.0,2421.0,408777753.0,1119477760.0,330539008.0,641720320.0,37.861174240170705,13.0,4128.14
42,82194717.0,659.090834579,980214784.0,46481.0,155.539272381,5822808064.0,113505.0,141.590720419,18960.56,1073741824.0,213258405.0,0.0,0.0,95213.0,8047973.0,0.0,0.0,83668.0,0.0,2421.0,416605003.0,1119543296.0,216547328.0,527912960.0,48.88132662248294,31.0,4187.91
43,83893409.0,672.602643872,980214784.0,46481.0,155.539272381,5823094784.0,113565.0,141.625906263,19115.1,1073741824.0,213261083.0,0.0,0.0,95239.0,8051339.0,0.0,0.0,83692.0,0.0,2421.0,424385883.0,1123745792.0,290566144.0,601931776.0,41.71396388356754,31.0,4247.61
44,85622276.0,686.195375734,980214784.0,46481.0,155.539272381,5824090112.0,113774.0,142.357778321,19269.79,1073741824.0,213265562.0,0.0,0.0,95282.0,8057162.0,0.0,0.0,83731.0,0.0,2421.0,432586486.0,1119592448.0,342212608.0,653664256.0,36.704623426896546,1.0,4307.29
45,87237164.0,699.008247687,980214784.0,46481.0,155.539272381,5824090112.0,113774.0,142.357778321,19422.5,1073741824.0,213267634.0,0.0,0.0,95310.0,8059206.0,0.0,0.0,83759.0,0.0,2421.0,440937989.0,1119592448.0,280788992.0,592240640.0,42.65237239666996,11.0,4366.98
46,88826398.0,711.835002511,980214784.0,46481.0,155.539272381,5824700416.0,113880.0,144.97702634,19575.25,1073741824.0,213268612.0,0.0,0.0,95327.0,8060250.0,0.0,0.0,83777.0,0.0,2421.0,449210705.0,1119674368.0,355041280.0,666542080.0,35.457642714642105,9.0,4426.73
47,90602811.0,725.695997979,980214784.0,46481.0,155.539272381,5824724992.0,113885.0,144.978856756,19730.74,1073741824.0,213269468.0,0.0,0.0,95343.0,8061052.0,0.0,0.0,83792.0,0.0,2421.0,458151691.0,1119674368.0,373993472.0,685506560.0,33.62128116956003,5.0,4486.47
48,92200678.0,738.519824213,980214784.0,46481.0,155.539272381,5825159168.0,113977.0,145.017654541,19883.46,1073741824.0,213271174.0,0.0,0.0,95372.0,8062642.0,0.0,0.0,83818.0,0.0,2421.0,466112018.0,1119674368.0,252858368.0,564404224.0,45.34781798206474,13.0,4546.2
49,93768875.0,750.841223402,980214784.0,46481.0,155.539272381,5825159168.0,113977.0,145.017654541,20035.05,1073741824.0,213271934.0,0.0,0.0,95386.0,8063402.0,0.0,0.0,83832.0,0.0,2421.0,474786259.0,1119674368.0,290856960.0,602402816.0,41.66835231171345,7.0,4605.99
50,95362921.0,763.741997333,980214784.0,46481.0,155.539272381,5825159168.0,113977.0,145.017654541,20187.94,1073741824.0,213273842.0,0.0,0.0,95414.0,8065310.0,0.0,0.0,83860.0,0.0,2421.0,483247511.0,1119674368.0,261812224.0,573358080.0,44.48080149447307,27.0,4665.72
51,97032246.0,776.996854598,980214784.0,46481.0,155.539272381,5825159168.0,113977.0,145.017654541,20341.82,1073741824.0,213275160.0,0.0,0.0,95430.0,8066672.0,0.0,0.0,83876.0,0.0,2421.0,490856551.0,1119674368.0,368123904.0,679669760.0,34.1864680381868,5.0,4725.46
52,98576543.0,789.432820233,980214784.0,46481.0,155.539272381,5825159168.0,113977.0,145.017654541,20493.55,1073741824.0,213276078.0,0.0,0.0,95447.0,8067590.0,0.0,0.0,83893.0,0.0,2421.0,498929647.0,1119674368.0,317603840.0,629149696.0,39.078408275129,5.0,4785.18
53,100160169.0,801.843693849,980214784.0,46481.0,155.539272381,5825179648.0,113981.0,145.018473491,20645.2,1073741824.0,213276846.0,0.0,0.0,95461.0,8068590.0,0.0,0.0,83911.0,0.0,2421.0,507287712.0,1119674368.0,308891648.0,620441600.0,39.92162742088375,3.0,4844.9
54,101647844.0,813.967220955,980214784.0,46481.0,155.539272381,5825179648.0,113981.0,145.018473491,20795.69,1073741824.0,213277552.0,0.0,0.0,95474.0,8069346.0,0.0,0.0,83925.0,0.0,2421.0,514644173.0,1119674368.0,376061952.0,687611904.0,33.41741727449044,11.0,4904.66
55,103168689.0,826.258391735,980214784.0,46481.0,155.539272381,5825179648.0,113981.0,145.018473491,20946.75,1073741824.0,213279610.0,0.0,0.0,95505.0,8071400.0,0.0,0.0,83956.0,0.0,2421.0,521839436.0,1119674368.0,297877504.0,609427456.0,40.98814495754158,9.0,4964.39
56,104909639.0,839.969851173,980214784.0,46481.0,155.539272381,5825179648.0,113981.0,145.018473491,21101.56,1073741824.0,213280834.0,0.0,0.0,95526.0,8072620.0,0.0,0.0,83977.0,0.0,2421.0,529675570.0,1119674368.0,278724608.0,590274560.0,42.8427511313653,7.0,5024.15
